id,name,code
hr_profession_35130,Técnico em redes e sistemas de computadores,35130
hr_profession_35140,Técnico da Web,35140
hr_profession_35211,Técnico de emissões de rádio,35211
hr_profession_35212,Técnico de emissões de televisão,35212
hr_profession_35213,Técnico de gravação audiovisual,35213
hr_profession_35214,Técnico de sistemas de comunicações via rádio,35214
hr_profession_35220,Técnico de telecomunicações,35220
hr_profession_41100,Empregado de escritório em geral,41100
hr_profession_41200,Técnico de secretariado,41200
hr_profession_41310,Dactilógrafo e operador de processamento de texto,41310
hr_profession_41320,Operador de registo de dados,41320
hr_profession_42110,Caixa bancário e similar,42110
hr_profession_42120,Empregado de banca nos casinos e outros empregados de apostas,42120
hr_profession_42130,Penhorista e prestamista,42130
hr_profession_42140,Cobrador de facturas e similares,42140
hr_profession_42210,Empregado das agências de viagens,42210
hr_profession_42220,Empregado dos centros de chamadas,42220
hr_profession_42230,Operador de central telefónica,42230
hr_profession_42240,Recepcionista de hotel,42240
hr_profession_42250,Pessoal de informação administrativa,42250
hr_profession_42260,"Recepcionista, excepto de hotel ",42260
hr_profession_42270,Entrevistador de inquéritos e de estudos de mercado,42270
hr_profession_42290,Outro pessoal de recepção e de informação a clientes,42290
hr_profession_43110,Operador de contabilidade e escrituração comercial,43110
hr_profession_43120,"Operador dos serviços de estatística, financeiros e seguros",43120
hr_profession_43130,Operador de dados de processamento de pagamentos,43130
hr_profession_43211,Empregado de aprovisionamento,43211
hr_profession_43212,Empregado de armazém,43212
hr_profession_43220,Empregado de serviços de apoio à produção,43220
hr_profession_43231,Controlador de transportes terrestres de passageiros,43231
hr_profession_43232,Controlador de transportes terrestres de mercadorias,43232
hr_profession_43233,Empregado de controlo dos serviços de transportes aéreos e marítimos,43233
hr_profession_44110,Empregado de biblioteca,44110
hr_profession_44120,Carteiro e similares,44120
hr_profession_44130,"Codificador, revisor de provas e similares",44130
hr_profession_44140,Escrivão e similares,44140
hr_profession_44150,Classificador arquivista,44150
hr_profession_44160,Empregado de serviço de pessoal,44160
hr_profession_44190,"Outro pessoal de apoio de tipo administrativo, n.e. ",44190
hr_profession_51110,Assistentes de viagem e comissários,51110
hr_profession_51120,Fiscal e cobrador de transportes públicos,51120
hr_profession_51130,Guia intérprete,51130
hr_profession_51200,Cozinheiro,51200
hr_profession_51310,Empregado de mesa,51310
hr_profession_51320,Empregado de bar,51320
hr_profession_51410,Cabeleireiro e barbeiro,51410
hr_profession_51421,Esteticista,51421
hr_profession_51422,Massagista de estética,51422
hr_profession_51423,"Manicura, pedicura e calista",51423
hr_profession_51424,Outros trabalhadores similares aos esteticistas,51424
hr_profession_51510,"Encarregado de limpeza e de trabalhos domésticos em escritórios, hotéis e outros estabelecimentos",51510
hr_profession_51520,Governante doméstico,51520
hr_profession_51530,Porteiro de edifícios,51530
hr_profession_51611,Astrólogo,51611
hr_profession_51612,Adivinhador e similares,51612
hr_profession_51620,Pessoal de companhia e ajudantes de quarto,51620
hr_profession_51631,Agente funerário,51631
hr_profession_51632,Embalsamador,51632
